company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
1914,BOEING,US,56,3030,29-30,2016,3769.430332,81655.852497,2282.094909,4830.565304,150500,29,72,33,9,602,3,6
681,GLAXOSMITHKLINE,GB,34,2120,21,2016,3755.425336,30922.662467,1710.841781,2399.391960,99300,1,4,0,2,1,33,333
979,PANASONIC,JP,32,2751,27,2016,3737.095743,57869.844139,2195.375040,2707.761014,257533,188,119,1407,14,182,23,31
1953,GILEAD SCIENCES,US,41,2120,21,2016,3725.762246,26541.471481,653.274765,16126.628965,9000,1,1,1,1,3,57,89
1473,GENERAL ELECTRIC,US,44,2811,28,2015,3710.915102,101550.161839,6383.402739,7194.756530,333000,,,,,,,
964,SONY,JP,39,2640,26,2015,3689.373378,63874.587417,2958.311699,2300.693886,125300,,,,,,,
1260,FIAT CHRYSLER AUTOMOBILES,NL,40,2910,29-30,2018,3683.000105,110412.001610,5392.000079,5032.000132,198545,31,60,7,3,39,6,31
1953,GILEAD SCIENCES,US,41,2120,21,2018,3666.373668,19324.880093,806.986529,7311.786525,11000,45,75,51,45,86,30,81
631,PEUGEOT (PSA),FR,42,2910,29-30,2018,3649.000078,74027.001858,2510.000020,4629.999865,211013,282,332,31,11,174,20,14
1649,ELI LILLY,US,51,2120,21,2017,3634.845139,19974.924624,940.436206,2482.444048,40655,73,83,71,36,83,37,137
1242,AIRBUS,NL,48,3030,29-30,2015,3614.000045,64450.003207,,4007.999785,136574,,,,,,,
964,SONY,JP,39,2640,26,2017,3613.211215,67328.244448,2072.404604,5790.839903,117300,1270,1144,1647,375,1842,81,124
478,SAP,DE,43,5829,58-60,2018,3612.000030,24707.999080,1458.000042,5702.999886,96498,576,624,28,34,357,9,5
1473,GENERAL ELECTRIC,US,44,2811,28,2018,3610.478481,106214.798987,6720.520556,-12261.128984,283000,1345,1213,506,165,1478,27,69
1614,ABBVIE,US,30,2120,21,2016,3593.011294,22391.255945,418.340380,8178.161457,30000,2,2,2,0,2,2,50
979,PANASONIC,JP,32,2751,27,2015,3544.732463,60096.777976,1932.767569,3256.459022,249520,,,,,,,
